Time frequency,Standard international energy product classification (SIEC),Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting),Time,value
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2000,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2001,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2002,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2003,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2004,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2005,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2006,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2007,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2008,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2009,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2010,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2011,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2012,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2013,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2014,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2015,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2016,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2017,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2018,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2019,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2020,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2021,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2022,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2023,0.0
Annual,Natural gas,Belgium,Million cubic metres,Belgium,2024,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2000,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2001,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2002,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2003,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2004,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2005,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2006,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2007,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2008,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2009,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2010,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2011,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2012,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2013,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2014,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2015,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2016,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2017,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2018,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2019,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2020,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2021,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2022,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2023,0.0
Annual,Natural gas,Belgium,Million cubic metres,Bulgaria,2024,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2000,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2001,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2002,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2003,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2004,0.0
