Time frequency,Country of citizenship,Age definition,Age class,Unit of measure,Sex,Geopolitical entity (reporting),Time,value
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2007,100716.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2010,89488.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2011,91372.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2012,88504.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2013,85247.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2014,87763.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2015,86536.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2016,82742.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2017,84368.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2018,89919.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2019,96585.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2023,106188.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2024,100156.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2007,1551.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2012,12882.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2013,14931.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2014,18510.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2015,19342.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2016,18557.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2017,21862.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2018,26824.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2019,35144.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2020,34286.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2022,34994.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2023,47801.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2024,43396.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2002,35156.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2003,51834.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2004,44846.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2005,48719.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2006,52751.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2007,78276.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2008,85570.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2009,59734.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2010,41229.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2011,23088.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2012,27741.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2013,25554.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2014,25992.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2015,24629.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2016,48256.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2017,37210.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2018,48951.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2019,84702.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2020,53438.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2021,57795.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2022,330183.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2023,122851.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2024,102231.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,1998,38801.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,1999,38119.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2000,38444.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2001,39399.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2002,38826.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2003,37953.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2004,39299.0
