Time frequency,Stock or flow,External trade indicator,Geopolitical entity (partner),"Standard International Trade Classification (SITC Rev. 4, 2006)",Geopolitical entity (reporting),Time,value
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2023-01,331422.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2023-02,335215.9
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2023-03,383787.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2023-04,316382.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2023-05,347042.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2023-06,354069.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2023-07,318514.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2023-08,297027.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2023-09,331007.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2023-10,347986.9
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2023-11,352374.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2023-12,300941.5
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2024-01,312326.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2024-02,328823.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2024-03,337116.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2024-04,341222.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2024-05,327461.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2024-06,327800.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2024-07,333628.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2024-08,285325.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2024-09,332714.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2024-10,360177.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2024-11,342682.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2024-12,302527.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2025-01,322976.9
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2025-02,331236.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2025-03,355208.9
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2025-04,338801.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2025-05,338101.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2025-06,340606.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2025-07,345093.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2025-08,288195.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2025-09,353798.2
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2025-10,368137.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2025-11,348052.3
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2025-12,325501.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2026-01,312552.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2026-02,334871.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2026-03,383681.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2026-04,359902.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2026-05,345273.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2026-06,377187.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2023-01,33367.3
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2023-02,34011.2
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2023-03,39602.7
