Time frequency,Unit of measure,Stock or flow,Products and final uses,"Products, adjustments and value added",Geopolitical entity (reporting),Time,value,country
Annual,Million euro,Total,Total,Total,Austria,2020,350673.96,AT
Annual,Million euro,Total,Total,Total,Austria,2021,403139.35,AT
Annual,Million euro,Total,Total,Total,Austria,2022,500777.3,AT
Annual,Million euro,Total,Total,"Products of agriculture, hunting and related services",Austria,2020,6288.85,AT
Annual,Million euro,Total,Total,"Products of agriculture, hunting and related services",Austria,2021,7001.68,AT
Annual,Million euro,Total,Total,"Products of agriculture, hunting and related services",Austria,2022,8944.59,AT
Annual,Million euro,Total,Total,"Products of forestry, logging and related services",Austria,2020,1896.44,AT
Annual,Million euro,Total,Total,"Products of forestry, logging and related services",Austria,2021,2948.97,AT
Annual,Million euro,Total,Total,"Products of forestry, logging and related services",Austria,2022,3547.2,AT
Annual,Million euro,Total,Total,Fish and other fishing products; aquaculture products; support services to fishing,Austria,2020,71.68,AT
Annual,Million euro,Total,Total,Fish and other fishing products; aquaculture products; support services to fishing,Austria,2021,71.48,AT
Annual,Million euro,Total,Total,Fish and other fishing products; aquaculture products; support services to fishing,Austria,2022,103.51,AT
Annual,Million euro,Total,Total,Mining and quarrying,Austria,2020,6141.02,AT
Annual,Million euro,Total,Total,Mining and quarrying,Austria,2021,10339.21,AT
Annual,Million euro,Total,Total,Mining and quarrying,Austria,2022,14526.36,AT
Annual,Million euro,Total,Total,"Food, beverages and tobacco products",Austria,2020,8605.73,AT
Annual,Million euro,Total,Total,"Food, beverages and tobacco products",Austria,2021,9600.61,AT
Annual,Million euro,Total,Total,"Food, beverages and tobacco products",Austria,2022,12967.07,AT
Annual,Million euro,Total,Total,"Textiles, wearing apparel, leather and related products",Austria,2020,1947.31,AT
Annual,Million euro,Total,Total,"Textiles, wearing apparel, leather and related products",Austria,2021,2188.68,AT
Annual,Million euro,Total,Total,"Textiles, wearing apparel, leather and related products",Austria,2022,2487.87,AT
Annual,Million euro,Total,Total,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Austria,2020,4696.97,AT
Annual,Million euro,Total,Total,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Austria,2021,6041.07,AT
Annual,Million euro,Total,Total,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Austria,2022,7062.99,AT
Annual,Million euro,Total,Total,Paper and paper products,Austria,2020,3825.25,AT
Annual,Million euro,Total,Total,Paper and paper products,Austria,2021,4027.28,AT
Annual,Million euro,Total,Total,Paper and paper products,Austria,2022,5087.4,AT
Annual,Million euro,Total,Total,Printing and recording services,Austria,2020,1326.65,AT
Annual,Million euro,Total,Total,Printing and recording services,Austria,2021,1333.36,AT
Annual,Million euro,Total,Total,Printing and recording services,Austria,2022,1539.53,AT
Annual,Million euro,Total,Total,Coke and refined petroleum products,Austria,2020,3269.23,AT
Annual,Million euro,Total,Total,Coke and refined petroleum products,Austria,2021,4208.4,AT
Annual,Million euro,Total,Total,Coke and refined petroleum products,Austria,2022,9225.17,AT
Annual,Million euro,Total,Total,Chemicals and chemical products,Austria,2020,12221.99,AT
Annual,Million euro,Total,Total,Chemicals and chemical products,Austria,2021,16235.32,AT
Annual,Million euro,Total,Total,Chemicals and chemical products,Austria,2022,20615.81,AT
Annual,Million euro,Total,Total,Basic pharmaceutical products and pharmaceutical preparations,Austria,2020,2037.66,AT
Annual,Million euro,Total,Total,Basic pharmaceutical products and pharmaceutical preparations,Austria,2021,2996.29,AT
Annual,Million euro,Total,Total,Basic pharmaceutical products and pharmaceutical preparations,Austria,2022,2839.07,AT
Annual,Million euro,Total,Total,Rubber and plastic products,Austria,2020,5499.35,AT
Annual,Million euro,Total,Total,Rubber and plastic products,Austria,2021,6524.66,AT
Annual,Million euro,Total,Total,Rubber and plastic products,Austria,2022,7103.31,AT
Annual,Million euro,Total,Total,Other non-metallic mineral products,Austria,2020,5356.39,AT
Annual,Million euro,Total,Total,Other non-metallic mineral products,Austria,2021,6157.57,AT
Annual,Million euro,Total,Total,Other non-metallic mineral products,Austria,2022,6814.28,AT
Annual,Million euro,Total,Total,Basic metals,Austria,2020,12741.35,AT
Annual,Million euro,Total,Total,Basic metals,Austria,2021,18091.79,AT
Annual,Million euro,Total,Total,Basic metals,Austria,2022,23137.62,AT
Annual,Million euro,Total,Total,"Fabricated metal products, except machinery and equipment",Austria,2020,11538.43,AT
Annual,Million euro,Total,Total,"Fabricated metal products, except machinery and equipment",Austria,2021,13673.2,AT
Annual,Million euro,Total,Total,"Fabricated metal products, except machinery and equipment",Austria,2022,16191.13,AT
Annual,Million euro,Total,Total,"Computer, electronic and optical products",Austria,2020,5470.63,AT
Annual,Million euro,Total,Total,"Computer, electronic and optical products",Austria,2021,5932.53,AT
Annual,Million euro,Total,Total,"Computer, electronic and optical products",Austria,2022,7350.79,AT
Annual,Million euro,Total,Total,Electrical equipment,Austria,2020,6794.69,AT
Annual,Million euro,Total,Total,Electrical equipment,Austria,2021,8337.69,AT
Annual,Million euro,Total,Total,Electrical equipment,Austria,2022,9210.12,AT
Annual,Million euro,Total,Total,Machinery and equipment n.e.c.,Austria,2020,9667.47,AT
Annual,Million euro,Total,Total,Machinery and equipment n.e.c.,Austria,2021,10932.36,AT
Annual,Million euro,Total,Total,Machinery and equipment n.e.c.,Austria,2022,13190.76,AT
Annual,Million euro,Total,Total,"Motor vehicles, trailers and semi-trailers",Austria,2020,6607.11,AT
Annual,Million euro,Total,Total,"Motor vehicles, trailers and semi-trailers",Austria,2021,7638.97,AT
Annual,Million euro,Total,Total,"Motor vehicles, trailers and semi-trailers",Austria,2022,7781.46,AT
Annual,Million euro,Total,Total,Other transport equipment,Austria,2020,1377.28,AT
Annual,Million euro,Total,Total,Other transport equipment,Austria,2021,1821.28,AT
Annual,Million euro,Total,Total,Other transport equipment,Austria,2022,2033.15,AT
Annual,Million euro,Total,Total,Furniture and other manufactured goods,Austria,2020,1939.96,AT
Annual,Million euro,Total,Total,Furniture and other manufactured goods,Austria,2021,2103.06,AT
Annual,Million euro,Total,Total,Furniture and other manufactured goods,Austria,2022,2206.98,AT
Annual,Million euro,Total,Total,Repair and installation services of machinery and equipment,Austria,2020,6120.42,AT
Annual,Million euro,Total,Total,Repair and installation services of machinery and equipment,Austria,2021,6513.36,AT
Annual,Million euro,Total,Total,Repair and installation services of machinery and equipment,Austria,2022,7275.18,AT
Annual,Million euro,Total,Total,"Electricity, gas, steam and air conditioning",Austria,2020,26534.7,AT
Annual,Million euro,Total,Total,"Electricity, gas, steam and air conditioning",Austria,2021,29276.13,AT
Annual,Million euro,Total,Total,"Electricity, gas, steam and air conditioning",Austria,2022,62125.53,AT
Annual,Million euro,Total,Total,Natural water; water treatment and supply services,Austria,2020,1099.5,AT
Annual,Million euro,Total,Total,Natural water; water treatment and supply services,Austria,2021,1133.88,AT
Annual,Million euro,Total,Total,Natural water; water treatment and supply services,Austria,2022,1164.48,AT
Annual,Million euro,Total,Total,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Austria,2020,8022.05,AT
Annual,Million euro,Total,Total,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Austria,2021,9345.82,AT
Annual,Million euro,Total,Total,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Austria,2022,10194.18,AT
Annual,Million euro,Total,Total,Constructions and construction works,Austria,2020,27479.47,AT
Annual,Million euro,Total,Total,Constructions and construction works,Austria,2021,29739.02,AT
Annual,Million euro,Total,Total,Constructions and construction works,Austria,2022,33920.64,AT
Annual,Million euro,Total,Total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Austria,2020,2945.79,AT
Annual,Million euro,Total,Total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Austria,2021,3089.12,AT
