source,title,link,published,summary,image_url,image_source,image_is_generic,title_ja
NOS (オランダ),VS wil luchtverkeersleiders ontslaan na dodelijke botsing op LaGuardia-luchthaven,https://nos.nl/l/2628587,2026-08-28T02:07:37,"<p>De Amerikaanse luchtvaartautoriteit FAA wil twee luchtverkeersleiders ontslaan die op 22 maart voortijdig hun werk zouden hebben verlaten, kort voordat op luchthaven LaGuardia in New York een Air Canada-vliegtuig <a href=""https://nos.nl/artikel/2607478-vliegtuig-botst-op-brandweerauto-op-luchthaven-new-york-piloten-omgekomen"">in botsing kwam</a> met een brandweerwagen.</p>
        <p>Dat melden bronnen aan persbureau Reuters na eerdere berichtgeving van <a href=""https://www.wsj.com/business/airlines/faa-found-laguardia-air-traffic-controllers-left-work-early-before-deadly-collision-84668fa4?mod=hp_lead_pos2"">The Wall Street Journal</a> en <a href=""https://www.nytimes.com/2026/08/27/nyregion/air-canada-crash-lga-air-traffic-controllers.html"">The New York Times</a>.</p>
        <p>Bij het ongeluk kwamen beide piloten van het vliegtuig om het leven. De twee luchtverkeersleiders hadden volgens Amerikaanse functionarissen op het moment van het ongeluk dienst moeten hebben, maar waren al vertrokken.</p>
        <h2>Misbruik van de regels</h2>
        <p>De botsing leidde opnieuw tot kritiek op de personeelstekorten en werkpraktijken binnen de Amerikaanse luchtverkeersleiding. Volgens meerdere luchtverkeersleiders die met Reuters spraken, was het die avond drukker dan gepland. Normaal gesproken zouden extra medewerkers worden opgeroepen of zouden collega's langer doorwerken.</p>
        <p>De Amerikaanse transportminister Sean Duffy zegt dat de meeste luchtverkeersleiders hun werk goed doen, maar dat er moet worden opgetreden als medewerkers misbruik maken van de regels.</p>
        <p>""We zullen dit soort misbruik niet tolereren en nemen passende maatregelen om medewerkers verantwoordelijk te houden en te voorkomen dat onrechtmatige praktijken het luchtverkeer verstoren"", zei Duffy.</p>
        <h2>'Early shove'</h2>
        <p>Binnen de luchtverkeersleiding wordt volgens Reuters momenteel strenger gecontroleerd op medewerkers die vlak voor het einde van hun dienst vertrekken. Dat wordt in de sector een 'early shove' genoemd. Volgens een luchtverkeersleider gebeurt het voortijdig vertrekken op veel locaties al jaren.</p>
        <p>De FAA laat weten dat medewerkers verantwoordelijk worden gehouden en dat de veiligheid en efficiëntie van het Amerikaanse luchtruim niet in het geding mogen komen. De Amerikaanse vakbond voor luchtverkeersleiders zegt de beschuldigingen met de leiding van de FAA te bespreken.</p>",https://images.cdn.nos.nl/1/C/K/c/S/F/p5h6tPr5nhJovtqrbaJHrQGyQCq6MJidTKHiEKC/1x196x2736x1539-1024x576.webp,RSS,False,ラガーディア空港で死亡事故発生、米国は航空管制官の解雇を目指す
The Guardian (Europe),Ukraine war briefing: Missiles shot down during long Russian attack wave,https://www.theguardian.com/world/2026/aug/28/ukraine-war-briefing-missiles-shot-down-during-long-russian-attack-wave,2026-08-28T01:12:08,"<p>Drones and missiles target civilian infrastructure of Kyiv and other cities; car bomb kills Russian serviceman in St Petersburg. What we know on day 1,647</p> <a href=""https://www.theguardian.com/world/2026/aug/28/ukraine-war-briefing-missiles-shot-down-during-long-russian-attack-wave"">Continue reading...</a>",https://i.guim.co.uk/img/media/30b5a290216afdb1f829357fd2708cf0d9226b95/471_0_4708_3766/master/4708.jpg?width=140&quality=85&auto=format&fit=max&s=9e3ac5004d8f00328d4e194bc3565a6a,RSS,False,ウクライナ戦争説明会：ロシアの長い攻撃波中にミサイルが撃墜された
FRANCE 24,"OpenAI, Anthropic join global call to strengthen cyber defences",https://www.france24.com/en/technology/20260828-openai-anthropic-join-global-call-to-strengthen-cyber-defences,2026-08-28T01:05:51,"More than 100 organisations, including OpenAI and Anthropic, called Thursday for governments and technology companies to strengthen cyber defences against increasingly sophisticated AI-powered attacks. The open letter warned that these could become far more widespread in the coming months as artificial intelligence models grow more capable.",https://s.france24.com/media/display/b94eb338-6b17-11f1-a331-005056a90284/w:1024/p:16x9/063-2277319832.jpg,RSS,False,OpenAIとAnthropicがサイバー防御を強化するための世界的な呼びかけに参加
NOS (オランダ),Congo begint met vaccineren tegen grootste ebola-uitbraak ooit,https://nos.nl/l/2628586,2026-08-28T00:51:36,"<p>Congo is begonnen met het vaccineren van mensen tegen ebola. De vaccinatiecampagne is donderdag gestart in Kisangani, in het oosten van het land.</p>
        <p>Bij de vaccinatiecampagne wordt het vaccin Ervebo gebruikt. Daar zit een belangrijke onzekerheid aan: de huidige uitbraak wordt veroorzaakt door het Bundibugyo-type van het ebolavirus, terwijl Ervebo is goedgekeurd voor bescherming tegen een ander type, de Zaïre-variant.</p>
        <p>Er bestaat momenteel geen goedgekeurd vaccin dat specifiek bescherming biedt tegen Bundibugyo-ebola. Of Ervebo tegen deze variant werkt, is daarom nog niet duidelijk.</p>
        <h2>Dodelijkste uitbraak</h2>
        <p>Toch is besloten het vaccin in te zetten omdat de twee virusvarianten aan elkaar verwant zijn en Ervebo mogelijk enige bescherming biedt. De inzet wordt bovendien gebruikt om meer kennis over de werking van het vaccin te verzamelen.</p>
        <p>Zorgmedewerkers en andere mensen die betrokken zijn bij de bestrijding van de uitbraak krijgen als eersten het vaccin. Ook mensen die contact hebben gehad met patiënten worden gevaccineerd.</p>
        <p>Congo kampt met de dodelijkste ebola-uitbraak in zijn geschiedenis. Volgens de autoriteiten zijn inmiddels 5.713 besmettingen bevestigd. Daarbij zijn 2.744 mensen overleden. De uitbraak heeft zich verspreid over zes provincies.</p>
        <h2>Klinische studie</h2>
        <p>De Wereldgezondheidsorganisatie (WHO) waarschuwt dat de uitbraak nog niet onder controle is en mogelijk groter wordt dan de ebola-uitbraak in West-Afrika tussen 2014 en 2016. Die uitbraak kostte aan meer dan 11.000 mensen het leven.</p>
        <p>Van de 70.000 doses die voor Congo zijn vrijgegeven, zijn er 50.000 bedoeld voor zorgmedewerkers en andere mensen die in de frontlinie van het zorgsysteem werken. De overige 20.000 doses worden gebruikt in een klinische studie naar de werking tegen Bundibugyo-ebola.</p>
        <h2>Moeilijke omstandigheden</h2>
        <p>De bestrijding wordt bemoeilijkt door onveiligheid, grote groepen vluchtelingen, een staking van zorgpersoneel en veel beweging van inwoners tussen verschillende gebieden.</p>",https://images.cdn.nos.nl/3/G/o/t/D/E/owPB7hc5fXKiNFXkJubsRdCcffCzEDzBmHtyohv/8x81x3984x2241-1024x576.webp,RSS,False,コンゴ、史上最大のエボラ出血熱流行に対するワクチン接種を開始
Le Monde,Victor Wembanyama réussit ses retrouvailles avec le public parisien en guidant les Bleus vers un large succès,https://www.lemonde.fr/sport/article/2026/08/28/victor-wembanyama-reussit-ses-retrouvailles-avec-le-public-parisien-en-guidant-les-bleus-vers-un-large-succes_6758670_3242.html,2026-08-28T00:35:07,"L’équipe de France de basket a dominé la Slovénie sur le parquet de Bercy (92-67), jeudi 27 août lors d’une rencontre de qualification pour la Coupe du monde 2027, grâce à une performance très aboutie de son capitaine. La star jouait en sélection dans la capitale pour la première fois depuis le tournoi olympique en 2024.",https://img.lemde.fr/2026/08/27/666/0/7990/3995/644/322/60/0/6ce6041_ftp-1-qvzm5qnezynv-5933286-01-06.jpg,RSS,False,ヴィクトル・ウェンバンヤマはブルーズを大成功に導き、パリの大衆との再会に成功する
RTBF (ベルギー),Eclipse lunaire : la Lune a rendez-vous avec le Soleil dans la nuit du 27 au 28 août,https://www.rtbf.be/article/eclipse-lunaire-la-lune-a-rendez-vous-avec-le-soleil-dans-la-nuit-du-27-au-28-aout-11773913,2026-08-28T00:27:50,"Le phénomène débutera à 3h23. Le point culminant de l'éclipse est attendu à 6h14, lorsque 93 % de la surface lunaire...",https://static-content.rtbf.be/article/image/770x433/7/b/c/60a539abfee99c3af29e9b3e306ad2d0.jpg,RSS,False,月食：8月27日から28日の夜に月と太陽が出会う
NOS (オランダ),Trump hernoemt Lake Ontario naar Lake America: 'Nu nog een oceaan',https://nos.nl/l/2628585,2026-08-27T23:56:47,"<p>De Amerikaanse president Donald Trump heeft Lake Ontario officieel laten omdopen tot 'Lake America'. Hij ondertekende daarvoor een decreet waarmee de naam in de Amerikaanse geografische registers wordt aangepast. Canada is niet verplicht de nieuwe naam over te nemen.</p>
        <p>Trump zette zijn handtekening aan zijn bureau in het Witte Huis. Achter hem stond een kaart waarop boven Lake Ontario al 'Lake America' stond. Volgens het decreet moeten de wijzigingen binnen dertig dagen worden doorgevoerd.</p>
        <p>De naamswijziging komt op een moment dat de relatie tussen de Verenigde Staten en Canada verder onder druk staat. De naamswijziging volgt op nieuwe handelsmaatregelen tussen de landen over en weer. De VS legde onlangs een importheffing van 50 procent op Canadese goederen ter waarde van ongeveer 20 miljard dollar. Canada reageerde met <a href=""https://nos.nl/artikel/2628288-canada-slaat-terug-in-handelsoorlog-met-vs-importheffing-op-miljarden-aan-producten"">vergelijkbare heffingen</a> op Amerikaanse producten.</p>
        <p>Trump zei bij het ondertekenen dat Canada de VS ""al lange tijd aan het oplichten is"" op het gebied van handel en defensie.</p>
        <p>De Amerikaanse president voegde eraan toe: ""We houden van de mensen van Canada. Ik denk alleen niet dat hun vertegenwoordigers hun werk goed doen. Misschien veranderen ze. Ik weet het echt niet. Het maakt niet zoveel uit.""</p>
        <h2>Reacties Canada en VS</h2>
        <p>De Canadese premier Mark Carney wees de nieuwe naam af. ""Canadezen weten ook dat je de werkelijkheid bij de naam moet noemen: Lake Ontario toen, nu en altijd"", <a href=""https://x.com/MarkJCarney/status/2093066041286910329"">schreef hij op X</a>.</p>
        <p>De premier van Ontario, Doug Ford, gebruikte woorden van gelijke strekking. ""Voor Canadezen en de rest van de wereld is het Lake Ontario. Nu en voor altijd"", <a href=""https://x.com/fordnation/status/2093089356948856931"">schreef hij</a>.</p>
        <p>De gouverneur van de Amerikaanse direct aan Lake Ontario grenzende staat New York, Kathy Hochul, liet eveneens weten de nieuwe naam niet te gebruiken. ""New York gaat het niet zo noemen"", <a href=""https://x.com/GovKathyHochul/status/2093064058589086181"">reageerde ze</a> op de aankondiging van het Witte Huis op X.</p>
        <h2>'Nu nog een oceaan'</h2>
        <p>Lake Ontario is een van de Grote Meren op de grens tussen de VS en Canada. Er is geen internationale organisatie die bepaalt welke naam een grensoverschrijdend meer officieel moet hebben. Trump kan wel bepalen welke geografische namen de Amerikaanse overheid gebruikt.</p>
        <p>Trump verwees ook naar zijn eerdere poging om de Golf van Mexico om te dopen tot 'Gulf of America'. ""Als je erover nadenkt, hebben we een golf en hebben we een meer. Het enige wat we nog nodig hebben is een oceaan"", zei hij. ""Dus misschien moeten we de Atlantische en/of de Stille Oceaan van naam veranderen. Misschien doen we dat.""</p>",https://images.cdn.nos.nl/3/2/G/d/H/h/N68TE7kWEoNC3U3rWusDuPPyH7tMfzdenWXnoeH/8x4x3984x2241-1024x576.webp,RSS,False,トランプ大統領、オンタリオ湖の名前をアメリカ湖に変更「今はまだ海」
Le Monde,La fusée Ariane-6 réussit le lancement du satellite météorologique MTG-I2,https://www.lemonde.fr/sciences/article/2026/08/28/la-fusee-ariane-6-reussit-le-lancement-du-satellite-meteo-mtg-i2_6758604_1650684.html,2026-08-27T23:47:05,"Développé par l’Agence spatiale européenne, le satellite doit fournir un service de balayage rapide au-dessus de l’Europe, pour mieux prévoir les tempêtes.",https://img.lemde.fr/2026/08/27/640/0/7671/3835/644/322/60/0/838e5f3_ftp-1-kscssht7ephp-5934207-01-06.jpg,RSS,False,アリアン6ロケットが気象衛星MTG-I2の打ち上げに成功
Le Monde,"Deux records du monde, un concours de perche de haut vol : spectacle total au meeting d’athlétisme de Zurich",https://www.lemonde.fr/sport/article/2026/08/28/deux-records-du-monde-un-concours-de-perche-de-haut-vol-spectacle-total-au-meeting-d-athletisme-de-zurich_6758571_3242.html,2026-08-27T23:13:56,"Le Brésilien Alison Dos Santos s’est emparé du record du monde du 400 m haies, tout comme l’Américaine Masai Russel sur 100 m haies. Les perchistes Armand Duplantis et Emmanouil Karalis ont, eux, atteint au moins les 6,20 m ; une première pour deux athlètes dans un même concours.",https://img.lemde.fr/2026/08/27/134/0/2743/1372/644/322/60/0/a204103_ftp-1-4qp14wttyaya-2c008b0404464f28b78166f066e3897d-1-caf45b2a974b4786bdda15d0305f7c1a.jpg,RSS,False,2 つの世界新記録、高飛車棒高跳び競技: チューリッヒ陸上競技大会での壮絶な光景
Le Monde,Les dirigeants du journal militaire « Stars and Stripes » contestent en justice leur limogeage par le ministère de la défense américain,https://www.lemonde.fr/international/article/2026/08/28/les-dirigeants-du-journal-militaire-stars-and-stripes-contestent-en-justice-leur-limogeage-par-le-ministere-de-la-defense-americain_6758570_3210.html,2026-08-27T23:06:43,"Le directeur de la publication, le rédacteur en chef et une journaliste ont été licenciés le 21 août à la suite de la publication d’un article décrivant les conditions difficiles à bord du porte-avions « Abraham-Lincoln », engagé dans la guerre contre l’Iran.",https://img.lemde.fr/2026/08/27/395/0/2754/1377/644/322/60/0/74eecd4_upload-1-ggqphca5wi9y-000-b4jv8t3.jpg,RSS,False,軍事新聞「スターズ・アンド・ストライプス」のトップらが米国防総省による解任を法廷で争っている
FRANCE 24,Kherson residents urged to leave as Russian attacks threaten power and heating,https://www.france24.com/en/europe/20260827-kherson-residents-urged-to-leave-as-russian-attacks-threaten-power-and-heating,2026-08-27T22:40:52,Regional governor Oleksandr Prokudin urged residents to leave the southern Ukrainian city of Kherson on Thursday as Russian strikes damaged a district heating plant and threatened prolonged power and heating outages.,https://s.france24.com/media/display/4792bdfe-a260-11f1-96c3-005056a90284/w:1024/p:16x9/AP25331581427912.jpg,RSS,False,ロシアの攻撃で電力と暖房が脅かされているため、ヘルソン住民は立ち退きを要請
RTBF (ベルギー),Inondations au Népal et au Tibet : près de 400 morts et plus de 1400 disparus dont 3 Belges,https://www.rtbf.be/article/inondations-au-nepal-et-au-tibet-pres-de-400-morts-et-plus-de-1400-disparus-dont-3-belges-11775833,2026-08-27T22:22:24,"Situé au cœur de l’Himalaya, le Népal est une destination touristique très prisée des randonneurs et des alpinistes...",https://static-content.rtbf.be/article/image/770x433/c/e/1/70a9cee00ab7013967a6f6e99a961aeb.jpg,RSS,False,"ネパールとチベットの洪水：約400人が死亡、ベルギー人3人を含む1,400人以上が行方不明"
